"","x"
"1",1
"2",7
"3",29
"4",39
"5",41
"6",43
"7",111
"8",120
"9",136
"10",158
"11",162
"12",164
"13",189
"14",191
"15",204
"16",210
"17",222
"18",225
"19",227
"20",244
"21",247
"22",250
"23",258
"24",271
"25",277
"26",280
"27",285
"28",292
"29",297
"30",300
"31",302
"32",325
"33",333
"34",341
"35",346
"36",357
"37",372
"38",373
"39",385
"40",396
"41",407
"42",435
"43",445
"44",447
"45",459
"46",462
"47",476
"48",484
"49",499
"50",502
"51",505
"52",548
"53",551
"54",557
"55",559
"56",561
"57",572
"58",610
"59",615
"60",623
"61",627
"62",652
"63",667
"64",675
"65",688
"66",710
"67",780
"68",787
"69",830
"70",837
"71",842
"72",848
"73",870
"74",907
"75",923
"76",924
"77",987
"78",993
"79",1003
"80",1007
"81",1019
"82",1051
"83",1071
"84",1166
"85",1167
"86",1168
"87",1187
"88",1206
"89",1215
"90",1220
"91",1230
"92",1232
"93",1259
"94",1422
"95",1454
"96",1505
"97",1518
"98",1529
"99",1590
"100",1614
"101",1
"102",15
"103",17
"104",53
"105",118
"106",175
"107",178
"108",184
"109",197
"110",230
"111",248
"112",250
"113",274
"114",275
"115",286
"116",288
"117",289
"118",292
"119",293
"120",296
"121",301
"122",309
"123",314
"124",345
"125",356
"126",357
"127",360
"128",374
"129",375
"130",391
"131",412
"132",419
"133",427
"134",434
"135",435
"136",476
"137",532
"138",543
"139",546
"140",548
"141",549
"142",589
"143",595
"144",625
"145",634
"146",664
"147",706
"148",707
"149",709
"150",713
"151",714
"152",726
"153",758
"154",764
"155",766
"156",788
"157",801
"158",817
"159",842
"160",849
"161",874
"162",895
"163",955
"164",976
"165",980
"166",984
"167",1023
"168",1046
"169",1134
"170",1148
"171",1153
"172",1243
"173",1278
"174",1333
"175",1394
"176",1429
"177",1453
"178",1454
"179",1477
"180",1625
"181",1627
"182",1653
"183",1659
"184",1669
"185",1672
"186",1678
"187",1
"188",2
"189",26
"190",132
"191",139
"192",146
"193",162
"194",174
"195",225
"196",251
"197",265
"198",268
"199",274
"200",279
"201",294
"202",303
"203",312
"204",333
"205",357
"206",374
"207",388
"208",415
"209",432
"210",435
"211",468
"212",495
"213",525
"214",534
"215",550
"216",551
"217",574
"218",601
"219",607
"220",608
"221",620
"222",625
"223",644
"224",647
"225",651
"226",666
"227",667
"228",752
"229",773
"230",786
"231",800
"232",844
"233",870
"234",1078
"235",1105
"236",1313
"237",1361
"238",1410
"239",1436
"240",1667
